1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O b5 6.Bb3 Be7 7.d4 d6 8.dxe5 dxe5 9.Qe2 Nd4 10.Nxd4 Qxd4 11.c3 Qb6 12.Kh1 O-O 13.Nd2 Bb7 14.Bc2 c5 15.Re1 Rfd8 16.Nf1 Rd7 17.Ng3 g6 18.f4 exf4 19.Bxf4 Qe6 20.Rf1 Rad8 21.Rae1 Qg4 22.Qf2 Nh5 23.Nxh5 Qxh5 24.Bg3 f6 25.Bf4 Qg4 26.e5 fxe5 27.Bh6 Qe6 28.Qg3 e4 29.Bd1 Rd3 30.Bg4 Qd6 31.Qf2 Qe5 32.Qf7+ Kh8 33.Rf5 Re3 34.Ref1  1-0
1.e4 c6 2.c4 d5 3.cxd5 cxd5 4.exd5 Nf6 5.Bb5+ Nbd7 6.Nc3 a6 7.Be2 b5 8.d6 e6 9.d4 Bxd6 10.Bf3 Rb8 11.Nge2 O-O 12.O-O Qc7 13.Ng3 b4 14.Na4 Bb7 15.Bxb7 Qxb7 16.Bg5 Qd5 17.Bxf6 Nxf6 18.Qd3 Rfd8 19.Rfd1 a5 20.Nf1 Qg5 21.Rac1 Nd5 22.Nd2 Nf4 23.Qf3 Qb5 24.Nc4 Qxa4 25.Nxd6 Rxd6 26.Qxf4 Rbd8 27.Qxd6 Qxd1+ 28.Rxd1 Rxd6 29.Rc1 g6 30.Rc4 e5 31.Kf1 exd4 32.Ke2 d3+ 33.Kd2 Rd5 34.Re4 Kg7 35.Re3  1/2-1/2
1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Bxc6 dxc6 7.Re1 Nd7 8.d3 O-O 9.Nbd2 f6 10.Nc4 Nc5 11.b3 Ne6 12.Ne3 Nd4  1/2-1/2
1.c4 e5 2.Nc3 Nf6 3.g3 Bb4 4.Bg2 O-O 5.Nf3 Re8 6.O-O Bxc3 7.dxc3 Nc6 8.Ne1 d6 9.Nc2 Be6 10.Ne3 h6 11.Nd5 Nh7 12.e4 Ne7 13.Qe2 Qd7 14.Rd1 b6 15.Be3 Ng6 16.Bd2 Rf8 17.Rf1 Rae8 18.Rad1 f5 19.exf5 Bxf5 20.Ne3 Nf4 21.gxf4 exf4 22.Kh1 Ng5 23.Bd5+ Kh8 24.Rg1 fxe3 25.Bxe3 Nh3 26.Qh5 Rxe3 27.fxe3 Nf2+ 28.Kg2 Bg4 29.Qg6 Nxd1  0-1
1.e4 g6 2.d4 d6 3.Nc3 Bg7 4.Bg5 Nc6 5.d5 Ne5 6.f4 Nd7 7.Nf3 c6 8.Qd2 Nc5 9.O-O-O Qb6 10.e5 Bg4 11.Re1 O-O-O 12.dxc6 bxc6 13.Qe3 f6 14.Bh4 g5 15.fxg5 fxe5 16.Ne4 Nxe4 17.Qxe4 Be6 18.b3 Bd5 19.Qa4 Rf8 20.Ba6+ Kd7 21.Bg3 e4 22.Nh4 Qc5 23.Be2 Be6 24.Rhf1 Rxf1 25.Rxf1 Qxg5+ 26.Kb1 Qc5 27.Bf2 e3 28.Bg4 Nf6 29.Bxe6+ Kxe6 30.Bg1 Kf7 31.Re1 Ne4 32.Qxe4 Qc3 33.Qxe7+ Kxe7 34.Rxe3+ Qxe3 35.Bxe3 Rf8 36.Nf3 a6 37.Kc1 Rf5 38.Kd2 Ra5 39.a4 Rh5 40.Kd3 Bh6 41.Bf2 Rd5+ 42.Ke2 Rf5 43.g4 Rf7 44.Nd4 Kd7 45.h3 c5 46.Nf5 Bf8 47.Bg3 Ke6 48.Kd3 Rb7 49.Be1 Bg7 50.Kc4 Be5 51.Bd2 Rc7 52.Ba5 d5+ 53.Kd3 c4+ 54.Kd2 Rb7 55.bxc4 dxc4 56.Ne3 Bf4 57.Ke2 Bxe3 58.Kxe3 Rb2 59.c3 Rh2 60.Kd4 Rxh3 61.g5 Rg3 62.Kxc4 Rxg5 63.Bd8 Rg4+ 64.Kc5 Rxa4 65.c4 Kd7 66.Bh4 Ra2 67.Kb6 Rb2+  0-1
1.e4 c6 2.d4 d5 3.exd5 cxd5 4.Bd3 Nc6 5.c3 Nf6 6.h3 g6 7.Nf3 Bg7 8.O-O O-O 9.Re1 Qc7 10.Nbd2 Bf5 11.Nf1 Bxd3 12.Qxd3 a6 13.Ng3 e6 14.Bg5 b5 15.Qd2 Rfc8 16.Bh6 Na5 17.h4 Nc4 18.Qc1 Bxh6 19.Qxh6 Nxb2 20.Ne5 Qd8 21.h5 Ra7 22.Re3 Nc4 23.Nxc4 Rxc4 24.Rf3 Ng4 25.Qf4 f5 26.Qd2 Rac7 27.Re1 R7c6 28.Nf1 b4 29.cxb4 Rc2 30.Qd3 Qh4 31.g3 Qxh5 32.b5 Rc1 33.bxc6 Rxe1 34.Kg2 Rc1 35.Qc3 Rxf1 36.Kxf1 Qh1+ 37.Ke2 Nh2 38.c7 Qf1+ 39.Kd2 Nxf3+ 40.Qxf3 Qc4 41.Qc3 Qxa2+ 42.Ke3  1-0
1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 d6 6.g4 h6 7.Bg2 a6 8.O-O Qc7 9.h3 Nc6 10.Nxc6 bxc6 11.f4 e5 12.fxe5 dxe5 13.Be3 Be6 14.Qe2 Be7 15.Na4 Nd7 16.c4 O-O 17.b3 Qa5 18.Qf2 Bxc4 19.Rfc1 Be6 20.Rxc6 Rfc8 21.Rac1 Rxc6 22.Rxc6 Nf6 23.Rb6 Rd8 24.Qe2 Rd6 25.Rb8+ Kh7 26.Bf3 Rc6 27.Rb6 Rxb6 28.Bxb6 Qb5 29.Qxb5 axb5 30.Nc5 Nd7 31.Nxd7 Bxd7 32.Kf2 Kg6 33.Bd1 Ba3 34.h4 Bc6 35.Kf3 Kf6 36.Bd8+ Ke6 37.Bc2 Kd6 38.Ke3 Bc1+ 39.Kf3 b4 40.Bd3 Bd2 41.Bc4 Be8 42.Ba5 Kc5 43.Bd5 Be1 44.h5 Bh4 45.Bc7 Bf6 46.Bb8 g6 47.Ba7+ Kb5 48.Bc4+ Kc6 49.Be3 g5 50.Bd5+ Kb5 51.Bc4+  1/2-1/2
1.e4 c6 2.c4 d5 3.exd5 cxd5 4.cxd5 Nf6 5.Bb5+ Nbd7 6.Nc3 a6 7.Qa4 Rb8 8.Bxd7+ Bxd7 9.Qb3 b5 10.d3 b4 11.Ne4 Qa5 12.Nxf6+ gxf6 13.Ne2 Rg8 14.O-O Ba4 15.Qc4 Rd8 16.b3 Bb5 17.Qe4 Qb6 18.Be3 Qb7 19.Nf4 e5 20.Rfe1 Rd7 21.d4 Kd8 22.dxe5 fxe5 23.Qxh7 Rg4 24.Qh8  1-0
1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 O-O 8.a4 Bb7 9.d3 d6 10.Nc3 Na5 11.Ba2 b4 12.Ne2 Rb8 13.Ng3 c5 14.Nd2 Bc8 15.Nc4 Bg4 16.f3 Be6 17.Nxa5 Qxa5 18.Bc4 Nd7 19.b3 Nb6 20.Rb1 Rbd8 21.Qe2 d5 22.exd5 Nxd5 23.Bd2 f6 24.f4 Bd6 25.f5 Bf7 26.Qg4 Kh8 27.Re4 Qb6 28.Kh1 Qb7 29.Rbe1 Rfe8 30.Qh4 Bf8 31.Nf1 Nb6 32.Bxf7 Qxf7 33.Be3 Nd5 34.Bg1 Nc3 35.Rc4 Rd4 36.Bxd4 exd4 37.Rxc3 bxc3 38.Re4 Bd6 39.h3 Kg8 40.Nh2 Bxh2 41.Kxh2 Qc7+ 42.Kg1 Re5 43.Qf4 Qe7 44.Kf2 Rxe4 45.dxe4 g5 46.fxg6 hxg6 47.Ke2 f5 48.e5 Qb7 49.Qg5 Qe4+ 50.Kd1 Qc6 51.h4 f4 52.Qxf4 a5 53.Qg4 Kf7 54.Ke2 Qa6+ 55.Kf2 Qe6 56.Qe4 Qf5+ 57.Qxf5+ gxf5 58.h5 d3 59.h6 dxc2 60.e6+ Kxe6 61.h7 c1=Q 62.h8=Q Qd2+ 63.Kg3 Qe3+  0-1
1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bf5 5.Ng3 Bg6 6.h4 h6 7.Nf3 Nd7 8.h5 Bh7 9.Bd3 Bxd3 10.Qxd3 Qc7 11.Bd2 O-O-O 12.O-O-O e6 13.Ne4 Ngf6 14.g3 Nxe4 15.Qxe4 Nf6 16.Qe2 Bd6 17.Kb1 Kb8 18.Ne5 Ka8 19.Nc4 Be7 20.Bf4 Qc8 21.g4 Nd5 22.Bd2 Bf6 23.Ne5 Rhf8 24.c4 Ne7 25.Bb4 Rde8 26.f4 Bxe5 27.fxe5 f5 28.Rhf1 Qd7 29.Qf2 Rf7 30.Qh4 b6 31.Qh1 Kb7 32.Qg2 g5 33.hxg6 Nxg6 34.gxf5 Nh4 35.fxe6 Qxe6 36.Qe4 Nf5 37.Rf3 a5 38.Ba3 h5 39.b3 Nh6 40.Rxf7+ Nxf7 41.Bb2 Ng5 42.Qd3 h4 43.d5 cxd5 44.cxd5 Qg4 45.d6 h3 46.Rc1 h2 47.Qd5+ Kb8 48.d7 Rd8 49.Qd6+  1-0
